2020-03-31 22:33:31.808582- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'British Indian Ocean Territory'), kwargs: {}, result: https://en.wikipedia.org/wiki/British_Indian_Ocean_Territory
2020-03-31 22:33:32.969964- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Ireland'), kwargs: {}, result: https://en.wikipedia.org/wiki/Ireland
2020-03-31 22:33:33.784215- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Iran'), kwargs: {}, result: https://en.wikipedia.org/wiki/Iran
2020-03-31 22:33:34.426116- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Iraq'), kwargs: {}, result: https://en.wikipedia.org/wiki/Iraq
2020-03-31 22:33:35.034478- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Iceland'), kwargs: {}, result: https://en.wikipedia.org/wiki/Iceland
2020-03-31 22:33:35.680669- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Israel'), kwargs: {}, result: https://en.wikipedia.org/wiki/Israel
2020-03-31 22:33:36.828607- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Italy'), kwargs: {}, result: https://en.wikipedia.org/wiki/Italy
2020-03-31 22:33:37.796838- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Jamaica'), kwargs: {}, result: https://en.wikipedia.org/wiki/Jamaica
2020-03-31 22:33:39.012655- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Jersey'), kwargs: {}, result: https://en.wikipedia.org/wiki/Jersey
2020-03-31 22:33:39.547066- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Jordan'), kwargs: {}, result: https://en.wikipedia.org/wiki/Jordan
2020-03-31 22:33:40.615660- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Japan'), kwargs: {}, result: https://en.wikipedia.org/wiki/Japan
2020-03-31 22:33:41.548972- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Kazakhstan'), kwargs: {}, result: https://en.wikipedia.org/wiki/Kazakhstan
2020-03-31 22:33:42.056600- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Kenya'), kwargs: {}, result: https://en.wikipedia.org/wiki/Kenya
2020-03-31 22:33:42.992361- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Kyrgyzstan'), kwargs: {}, result: https://en.wikipedia.org/wiki/Kyrgyzstan
2020-03-31 22:33:43.958332- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Cambodia'), kwargs: {}, result: https://en.wikipedia.org/wiki/Cambodia
2020-03-31 22:33:44.662014- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Kiribati'), kwargs: {}, result: https://en.wikipedia.org/wiki/Kiribati
2020-03-31 22:33:45.486567- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Saint Kitts and Nevis'), kwargs: {}, result: https://en.wikipedia.org/wiki/Saint_Kitts_and_Nevis
2020-03-31 22:33:47.079143- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'South Korea'), kwargs: {}, result: https://en.wikipedia.org/wiki/South_Korea
2020-03-31 22:33:48.026836- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Kosovo'), kwargs: {}, result: https://en.wikipedia.org/wiki/Kosovo
2020-03-31 22:33:48.627866- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Kuwait'), kwargs: {}, result: https://en.wikipedia.org/wiki/Kuwait
2020-03-31 22:33:49.408173- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Laos'), kwargs: {}, result: https://en.wikipedia.org/wiki/Laos
2020-03-31 22:33:50.848306- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Lebanon'), kwargs: {}, result: https://en.wikipedia.org/wiki/Lebanon
2020-03-31 22:33:51.961631- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Liberia'), kwargs: {}, result: https://en.wikipedia.org/wiki/Liberia
2020-03-31 22:33:52.518970- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Libya'), kwargs: {}, result: https://en.wikipedia.org/wiki/Libya
2020-03-31 22:33:53.209435- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Saint Lucia'), kwargs: {}, result: https://en.wikipedia.org/wiki/Saint_Lucia
2020-03-31 22:33:54.215530- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Liechtenstein'), kwargs: {}, result: https://en.wikipedia.org/wiki/Liechtenstein
2020-03-31 22:33:54.890322- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Sri Lanka'), kwargs: {}, result: https://en.wikipedia.org/wiki/Sri_Lanka
2020-03-31 22:33:55.517450- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Lesotho'), kwargs: {}, result: https://en.wikipedia.org/wiki/Lesotho
2020-03-31 22:33:56.428630- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Lithuania'), kwargs: {}, result: https://en.wikipedia.org/wiki/Lithuania
2020-03-31 22:33:56.946844- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Luxembourg'), kwargs: {}, result: https://en.wikipedia.org/wiki/Luxembourg
2020-03-31 22:33:58.364882- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Latvia'), kwargs: {}, result: https://en.wikipedia.org/wiki/Latvia
2020-03-31 22:33:58.877263- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Macau'), kwargs: {}, result: https://en.wikipedia.org/wiki/Macau
2020-03-31 22:33:59.730219- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Saint Martin'), kwargs: {}, result: https://en.wikipedia.org/wiki/Saint_Martin
2020-03-31 22:34:00.226371- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Morocco'), kwargs: {}, result: https://en.wikipedia.org/wiki/Morocco
2020-03-31 22:34:01.403659- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Monaco'), kwargs: {}, result: https://en.wikipedia.org/wiki/Monaco
2020-03-31 22:34:02.017226- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Moldova'), kwargs: {}, result: https://en.wikipedia.org/wiki/Moldova
2020-03-31 22:34:03.982848- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Madagascar'), kwargs: {}, result: https://en.wikipedia.org/wiki/Madagascar
2020-03-31 22:34:04.476673- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Maldives'), kwargs: {}, result: https://en.wikipedia.org/wiki/Maldives
2020-03-31 22:34:05.820659- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Mexico'), kwargs: {}, result: https://en.wikipedia.org/wiki/Mexico
2020-03-31 22:34:06.469160- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Marshall Islands'), kwargs: {}, result: https://en.wikipedia.org/wiki/Marshall_Islands
2020-03-31 22:34:07.698595- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'North Macedonia'), kwargs: {}, result: https://en.wikipedia.org/wiki/North_Macedonia
2020-03-31 22:34:08.239438- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Mali'), kwargs: {}, result: https://en.wikipedia.org/wiki/Mali
2020-03-31 22:34:09.222674- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Malta'), kwargs: {}, result: https://en.wikipedia.org/wiki/Malta
2020-03-31 22:34:10.050421- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Myanmar'), kwargs: {}, result: https://en.wikipedia.org/wiki/Myanmar
2020-03-31 22:34:10.599256- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Montenegro'), kwargs: {}, result: https://en.wikipedia.org/wiki/Montenegro
2020-03-31 22:34:11.136560- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Mongolia'), kwargs: {}, result: https://en.wikipedia.org/wiki/Mongolia
